,Unnamed: 0,year,food_category,tons_surplus,tons_supply,us_dollars_surplus,tons_waste,tons_uneaten,tons_inedible_parts,tons_not_fit_for_human_consumption,tons_donations,tons_industrial_uses,tons_animal_feed,tons_anaerobic_digestion,tons_composting,tons_not_harvested,tons_incineration,tons_land_application,tons_landfill,tons_sewer,tons_dumping,gallons_water_footprint,meals_wasted,food_name_food_waste,best_match,score,food_name,serving_size,protein,percent_daily_value,fat,carbs,calories,fiber,calcium,iron,potassium,sodium,phosphorus
1,1,2023,"Pickles, Olives, And Pickled Vegetables",2953.1240698500005,124337.025,2305843.0237251003,2869.759494325304,2947.140686167161,0.0,1405.825322062806,5.98338368283925,0.0,77.38119184185722,0.0,0.0,2837.025,0.0882199089728519,0.0,3.1277968250072035,0.0,29.518477591323645,1657840321.558705,4911901.143611936,"pickles, olives, and pickled vegetables","pickled radish sliced takuan, pickled radish",0.6024096385542169,"pickled radish sliced takuan, pickled radish",30.0,0.0,0.0,0.0,3.33,0.0,3.3,0.033,0.0,0.033,0.633,
2,2,2023,Apples,3171148.312,8291283.904,1759098005.59,2497430.4759836723,3122793.0929937726,317114.8312,1684054.4361274876,48355.219006227206,0.0,625362.6170101007,0.0,0.0,2232883.904,2764.654641247846,0.0,23225.855368216155,0.0,238556.061974208,97239582950.02963,5204655154.989622,apples,apples,1.0,apples,170.0,0.2222222222222222,0.5555555555555556,0.0,18.477777777777774,70.38888888888889,3.5555555555555554,0.0057222222222222,0.0001511111111111,0.1486666666666666,0.0033333333333333,
3,3,2023,Apples,3171148.312,8291283.904,1759098005.59,2497430.4759836723,3122793.0929937726,317114.8312,1684054.4361274876,48355.219006227206,0.0,625362.6170101007,0.0,0.0,2232883.904,2764.654641247846,0.0,23225.855368216155,0.0,238556.061974208,97239582950.02963,5204655154.989622,apples,pineapples,0.75,pineapples,40.0,0.0,0.0,0.0,87.5,350.0,5.0,0.05,0.0009,,0.05,
4,4,2023,Apricots,14739.8818382013,46255.8547,20327829.1599378,11644.362227958722,14517.704955403557,1031.7917286740912,7804.784302812499,222.1768827977462,0.0,2873.342727444831,0.0,0.0,10428.8547,3.702534160694043,0.0,115.71560962814272,0.0,1096.0893841698853,452021293.95058227,24196174.92567259,apricots,apricots,1.0,apricots,36.22222222222222,2.77875,4.0,0.25,68.11250000000001,267.125,8.1375,0.061125,0.0028625,1.1,0.03025,
5,5,2023,Artichokes,4109.7465,41254.2,6822179.19,2992.4761166685007,4031.3064805344,2465.8479,2652.00581803299,78.44001946560002,0.0,1038.8303638659,0.0,0.0,2554.2000000000003,1.130598601625768,0.0,40.084860182874245,0.0,397.060657884,125776925.08753888,6718844.134224,artichokes,artichokes,1.0,artichokes,100.0,1.8575,2.5,2.5,8.030000000000001,60.0,3.7,0.066,0.0006699999999999,,0.2445,
6,6,2023,Asparagus,6510.405096902,31037.984000000004,15645831.792571023,5014.707335894342,6405.396888290706,3059.88957304394,3289.499799350367,105.00820861129448,0.0,1390.6895523963644,0.0,0.0,4427.984,4.950820504878479,0.0,50.224605553640295,0.0,531.5479098358223,199545422.7630431,10675661.48048451,asparagus,asparagus,1.0,asparagus,90.0,2.283846153846154,0.3846153846153846,1.5561538461538462,3.9630769230769234,32.76923076923077,2.2846153846153845,0.0263076923076923,0.0017838461538461,0.2635714285714285,0.0763846153846153,
7,7,2023,Avocados,67063.76610294,176076.10199999998,130252563.337922,52819.39317661291,66041.39481389752,22131.0428139702,35612.3398973944,1022.3712890424756,0.0,13222.001637284626,0.0,0.0,47226.102,27.31359733800524,0.0,522.2020861257618,0.0,5043.775493149129,2056436420.8698368,110068991.35649589,avocados,avocados,1.0,avocados,30.0,3.33,3.0,15.0,10.0,167.0,6.7,0.0,0.0,0.5,0.0,
9,9,2023,Bell Peppers,146130.057,706880.057,167751430.93203187,146130.057,146130.057,26303.40647999999,60760.553078071214,0.0,0.0,0.0,0.0,0.0,146130.057,0.0,0.0,0.0,0.0,0.0,4515334632.085956,243550095.0,bell peppers,bell peppers,1.0,bell peppers,85.0,1.18,0.0,0.0,4.71,18.0,1.2,0.0,0.0004199999999999,,0.0,
10,10,2023,Blackberries,8814.75,28939.75,13628370.000000002,8814.75,8814.75,352.5899999999999,3489.693971644471,0.0,0.0,0.0,0.0,0.0,8814.75,0.0,0.0,0.0,0.0,0.0,272370700.21932364,14691250.0,blackberries,blackberries,1.0,blackberries,139.66666666666666,1.3141666666666667,0.0,0.3299999999999999,14.431666666666665,61.833333333333336,5.008333333333334,0.0295833333333333,0.00075,0.1453,0.0003333333333333,
11,11,2023,Blueberries,191679.9678,534763.44,561511280.955,171002.7106976502,190195.88463909648,9583.99839,89039.57896770911,1484.08316090352,0.0,19193.173941446275,0.0,0.0,162883.44,120.2973827395154,0.0,677.3844195778845,0.0,7321.5888953328,5899871994.423428,316993141.0651608,blueberries,blueberries,1.0,blueberries,126.76399999999998,0.4940709999999999,0.0,0.6005709999999999,10.83471,47.0057,2.51529,0.00285,5.684210526315789e-05,0.0521875,0.0,
